SNMPv2-SMI::transmission.127.1.1.4.1.2.396744 = Counter32: 1559321684;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396745 = Counter32: 1372335111;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396746 = Counter32: 2527669355;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396747 = Counter32: 2556105991;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396748 = Counter32: 2576026838;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396749 = Counter32: 2794574947;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396752 = Counter32: 812859618;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396753 = Counter32: 652383965;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396754 = Counter32: 388655737;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396755 = Counter32: 182558461;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396756 = Counter32: 3645002027;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396757 = Counter32: 3712686861;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396792 = Counter32: 1549526899;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396793 = Counter32: 2156062812;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396794 = Counter32: 2452656409;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396795 = Counter32: 2534920488;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396796 = Counter32: 2883335180;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396797 = Counter32: 3017281606;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396800 = Counter32: 3874887124;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396801 = Counter32: 1680116202;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396802 = Counter32: 1746800207;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396803 = Counter32: 767205465;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396804 = Counter32: 3865388635;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396805 = Counter32: 3036926432;127.0.192.8 
